Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
L,302.26461715113004,313.1087858100792,1931,49.788774938512525,211,0
L,304.91809951349364,313.35825927910514,2413,45.72198220941236,64,0
M,295.99178099587215,308.32191033115606,1628,34.90873923956474,192,0
M,299.0149431586129,311.93618057473793,2057,35.33153403284068,208,0
M,303.00070968699157,312.71122815851885,1436,57.10383526278587,128,0
L,297.040356346289,311.54650686865955,2417,21.742758405978943,116,0
M,300.55084949302284,306.515950748001,1970,59.215199136693386,115,0
L,302.33071296029675,313.75883083517056,1957,48.92482683370109,236,0
L,301.1598545026018,310.3909455273601,1335,35.13818642677146,221,0
M,296.88024734615414,307.82472426370003,1991,37.481716995032116,104,0
L,298.5538456868574,309.2522818543769,1370,25.398832431165747,238,0
L,302.83791784485396,305.3757109039891,1358,55.12685996181849,2,0
L,300.5422651413202,306.27866801222416,1400,40.772484538316064,45,0
L,295.0522961354291,312.6554675051586,2161,29.251272564990614,54,1
L,302.60990760028096,305.00011634755367,1782,45.76300694565701,74,0
L,295.3531135494024,309.16565828482294,2075,69.74406712307939,215,0
L,302.4573378273123,310.2251018108559,1570,36.11573677939323,213,0
M,297.02480560165236,305.54634420000974,1302,65.24148404671718,191,0
M,304.5807348011938,314.7307816297233,2201,30.701010395473965,235,0
L,298.67940751302086,307.2612533124967,2348,13.283962415499154,44,0
L,298.2693161633808,308.0419871963628,2175,22.25452638210573,153,0
L,296.4888805033244,308.03942512255026,1997,35.12170859966105,76,0
L,298.0560421549022,307.3041666211735,2453,23.17809571567414,192,0
L,303.766507618282,305.01473822086314,1857,10.013622293095333,23,0
M,304.96334337627246,312.29344794087996,2081,64.90009226485164,201,0
L,298.6830953050685,314.66845499799285,2420,60.63276467385574,34,0
L,299.48610630954545,307.24293483285044,1932,54.537533889216824,23,0
L,302.2207093820274,311.63047191803423,1622,20.06887573876172,27,0
L,303.86195780465073,312.41896326958715,1771,17.221814572599165,227,0
H,300.93044334186783,313.48425379090526,1370,14.05628496834299,207,0
M,298.91525698177827,309.2262919701361,1372,53.441751326375275,231,0
L,299.12621840848624,308.0293090564043,1862,65.72847764127312,15,0
M,301.95618146496804,308.2529513402303,1652,35.83214925478222,58,0
L,295.03218263604276,312.12621333098514,1549,17.14844031976289,208,0
M,301.1958933745984,313.16779466505636,1693,40.743569243926395,242,0
M,298.5549301044136,306.816139677566,1819,30.92991444751781,181,0
L,302.94197331277087,308.70941008157763,2227,32.48949546099986,206,0
L,295.9299063982313,314.0194019674915,2316,47.27983744934244,143,0
L,300.8820226694839,313.0669351969474,2118,53.12308679573214,14,0
L,299.80972889886124,314.8485840276248,1205,16.63621593238965,248,0
M,301.42325525905227,312.54248259682083,1487,12.135413848388584,225,0
L,295.6485359448297,308.93195201027925,2369,69.6598181611429,10,0
L,300.7998378742813,310.9063783399464,1807,23.963700934933108,192,0
M,300.61484587959524,311.6101425424732,1656,13.229831494507545,78,0
H,300.6066009441617,305.78455816317125,2425,21.392519745755198,217,0
L,301.03487666596453,310.44496959103867,2435,12.337470780907854,114,0
L,301.76467937226363,312.0932082847261,2229,33.508653677030296,67,0
L,303.0498899968077,306.6732130400106,1823,58.14410706707945,42,0
L,297.6982072012821,312.8063171742556,1575,30.474666985463237,68,0
H,303.2504941018006,310.8377278051411,1646,36.651004412701994,226,1
L,299.98255682263454,314.52221785697594,2034,50.53520641404633,140,0
L,295.7705827913433,305.4242229820689,2329,40.53364420419281,137,0
L,295.5855092924398,307.6532613755547,2010,61.68674116127945,74,1
L,298.3423831869606,311.01553879299826,2319,61.96214050274539,209,0
M,302.8489697711147,307.9655991220593,2158,10.594641729469219,225,0
M,302.07680934740915,312.14424164071244,2048,56.68277838899195,102,0
L,302.88614964672405,312.5900528252193,2008,37.64401601450044,40,0
L,300.1726905644161,306.02515964066475,2178,69.33043247821979,233,0
L,299.4019899795549,310.1385446420677,1615,38.99392455252611,177,0
H,296.47452526706286,310.08890555591057,1925,69.21375672329785,214,0
M,298.2819275360931,308.6928077021554,1653,55.27416167234419,198,0
L,299.34019366173874,314.3292486256967,2416,24.91629307679838,58,0
M,295.88600429679616,313.2750631987322,1349,42.30369875721746,38,0
M,297.2061195271121,311.97209381909636,1958,69.52813836871496,2,0
L,300.9822529406374,312.14326635735,1978,61.45183646511542,203,0
H,302.3566311423919,309.6171614381312,2172,15.842013627473266,6,0
L,304.9834751139295,314.20994521096577,1962,52.38231980859977,48,0
L,304.3311333134356,311.94595427253284,2201,30.734775152248783,25,0
L,301.4256519953519,312.28981061655816,1275,10.418935712820886,160,0
L,299.21248053294073,313.6169090378734,1798,34.20885814161998,100,0
L,301.3617736470823,307.7407158934219,2493,24.08526530349828,175,0
M,302.8565161808023,313.070709038667,1424,59.132156231228294,78,0
L,296.1833619092339,306.95240602956494,1312,30.23983653074593,1,0
M,299.09904889696287,308.4534195224489,1450,59.65142163722903,232,0
L,303.3980228563562,308.3561045426984,2456,10.035876330087719,126,1
L,298.83832951933044,314.7852546838914,2040,28.46914900156715,198,0
L,300.71872271227187,313.56537223747927,1913,24.46991285846572,159,0
L,300.877693608622,312.0116986159026,2306,24.01404166411666,131,0
M,296.8447625313364,312.2705676161539,1324,14.091197185927761,19,0
L,298.6223544165229,310.6207279440257,2398,21.227456224630103,241,0
L,298.3451128874193,314.4709066710852,2292,43.33297419313719,116,0
L,295.26196708532063,309.96258752882363,2270,27.481664370264667,163,0
M,295.24191763891355,308.80517709869895,2083,35.04368693974888,31,0
H,303.31697043675774,306.6303533693159,2479,32.61201282083131,27,0
M,297.73070809972813,312.8620565226106,1229,62.55429549999368,76,0
L,300.1807876623881,312.3444393207559,1480,64.31793994063094,0,0
L,297.98725573588774,308.8435503852414,2123,39.577418299351606,187,0
L,304.4067924511534,305.2519341395923,2460,29.809357018936264,55,0
L,297.59296758865776,313.3899732771801,2471,16.408042240141818,34,0
L,299.2965681273894,305.1141798345407,1567,67.20417276292571,111,0
L,303.727302504846,312.0369977962905,1694,13.613616694017846,29,0
L,303.41933566791806,314.70257109726055,2248,27.859016654096827,53,0
L,296.86101417846277,309.37661328148204,1917,27.88397207020025,35,0
M,303.0264330979571,307.3497340499595,2216,29.224077168412894,248,0
L,299.58186886737894,312.0487101004338,1805,19.857210596344558,182,0
L,299.82968872085354,313.1712814201559,1574,56.98968585542183,216,0
M,296.33479972415944,310.46430316077846,1838,17.349871717959353,79,0
L,295.80601513757125,314.6703527525615,2248,48.09439954918977,57,0
M,302.27939306973764,305.5166872165796,1315,17.430761602349047,82,0
L,299.964611523553,310.04795598304526,1247,14.232138255577393,64,0
L,299.3685070261518,312.1845394732255,1298,64.56577022115259,68,0
M,302.29508228652395,313.6264047114918,1604,21.40772597912234,127,0
M,302.6551289899111,306.7925561190779,2437,59.275009273582256,50,0
M,296.5890816766935,313.0000348176368,1884,42.67785226642815,21,0
L,301.1022514947764,310.52707075718547,2102,14.671391176526177,215,0
L,296.35354082277684,308.9655368198996,1702,67.32689148628404,106,0
L,302.51375086029043,306.31715028579094,2093,24.81767001951355,108,0
L,301.5695515626714,313.6529575890891,1457,61.57872072115639,115,0
H,304.5661462108346,306.57273208179714,2043,20.12860034707385,100,0
L,295.6895801635642,308.097878592091,1320,61.23657292851117,180,0
H,295.5705472115125,307.90045531962437,2009,10.793728774317639,99,0
L,297.821870746932,313.71414034190855,2177,40.70682739416884,163,0
L,297.6170568373591,311.72702994208896,1253,56.166554765293405,67,0
L,297.46978799072,312.9668139719137,2218,66.087731049567,35,0
M,304.0625458052104,307.504678987925,1983,64.55212817238922,179,0
M,297.49546199849505,311.24874099607,1440,59.17749217285869,180,0
M,297.71949726128634,310.7174598314375,1682,63.29148097967825,209,0
M,302.59398262417966,313.3283037678827,2212,21.95318115022459,177,0
M,299.4973984245054,314.0608706048126,1386,27.051057742703726,207,0
M,302.7671055695518,305.12156771477385,1855,27.33811149526351,168,0
L,295.65366157564387,311.74019919058793,1461,32.62323586010193,145,0
L,299.87571193673386,305.51835799119726,2152,33.59924022311132,21,0
L,295.3361360018328,310.4885866507736,1690,42.67331947928053,65,0
H,295.6265320345535,307.8763272904368,1630,19.592785801986484,20,0
H,304.0643745334441,308.0677659952214,1438,51.47479982715936,99,0
L,296.39245371117596,308.52958503452356,1503,20.05399235827039,127,0
M,300.32420682275216,311.2129244904961,1497,28.618508926272852,43,0
H,299.11095602600705,308.3404996566877,1275,40.20070783636925,102,0
L,298.4734332625884,312.3269905059028,2198,57.78643369140864,46,0
L,303.99833345687273,309.0452738557387,1841,54.368153994323634,38,0
H,295.2182339677549,305.6835320030996,2026,48.732061384631336,28,0
L,301.6378968617559,312.8375984248411,1482,19.346395634810207,53,0
M,304.6339443421355,307.85758324592706,1790,42.82272073693466,89,0
L,300.60168183461843,309.3276687959926,1271,15.246790107993126,84,1
H,304.3682246203309,311.854438832219,2486,32.641790607799045,16,0
H,295.52257879286026,308.3245615714871,1902,34.81099181739755,79,0
H,299.1879331907416,305.56585656146717,1774,12.38868636674523,187,0
L,297.6015779096205,308.7392104701281,2199,26.43928596819831,158,0
M,302.3082096498073,314.44448582694304,2091,67.33896803598935,242,0
M,304.8129709049725,311.4173439729856,1211,67.21795646978137,72,0
L,297.5653006244425,311.7147914866721,1340,31.139623255152358,222,0
M,301.54174601474074,311.3228215363764,1216,12.586006536899443,205,1
L,296.9809763275974,306.9899213895944,2286,20.745696359690893,48,0
L,300.6533025457161,309.18333864102283,1452,33.53306760601241,100,0
L,299.6393248668834,312.50939798363316,1664,66.86678187815379,1,0
L,304.72005329631537,306.0137289755316,1575,18.471943812231096,243,0
L,301.08527272696466,307.77852776089713,2180,55.81095062009273,175,0
M,298.4950637208682,307.76319108465856,1719,16.520952362481523,237,0
L,296.14095784887934,309.32018927594504,1289,68.87545464347662,141,0
M,296.51246828734935,314.80368740942185,1919,32.8969899465481,58,0
L,297.25316929951236,305.67502546683824,2003,56.51407233394336,96,0
L,297.509666613403,310.18700994380595,1995,30.55546496866791,98,0
L,303.50616057841137,306.7936468201221,1829,47.66013262952852,185,0
M,300.61222788282527,314.7067654540974,2398,21.520965084402203,102,0
L,300.23390911374366,306.13303504727463,1275,18.761261157817753,185,0
M,296.14768871869217,309.0360100236159,2125,66.28384837408788,238,0
M,303.60139693349436,312.3788498483461,1599,65.058836674266,178,0
M,302.22814303208486,312.04554428027444,2169,63.24813641277294,211,0
L,295.676683619,309.2272863689393,2294,47.52600700999561,1,0
L,302.0783509722977,308.4652416795272,2403,58.496092672976694,242,0
M,300.43538217342643,308.9761237855287,2347,14.142216214682495,40,0
L,295.81725345746776,307.6427626315864,1996,30.08734251344075,210,0
M,299.58300641528655,307.053329387068,1394,28.822187485429374,122,0
L,299.8469628713005,309.8303969755889,1427,48.1387193171568,228,0
H,296.6577454016328,307.6853375606761,1660,31.35746640823843,81,1
M,304.4569814700028,307.8746166489725,1817,18.91040689862085,143,0
H,303.4997537148066,311.5675606347456,2244,45.78802452481262,131,0
L,301.6902233732911,314.68537331699895,1263,58.86303524014489,139,0
M,299.62295561000604,311.03637200559376,1364,32.92740966759839,28,0
L,299.1176554158451,305.7697946706497,1226,17.936122905908903,134,0
L,301.50973467150953,305.75583613854064,2211,21.801291838769384,13,0
M,300.45431869406906,314.51423220845567,1484,24.24899831016304,246,0
M,295.62273105881883,307.97290790307335,1480,27.99385557967217,11,0
H,300.12502648770334,305.9206698608248,2037,48.567704230378546,98,0
M,303.0640361723284,310.9904458715038,2030,46.05672907226314,132,0
L,299.59239877596957,311.23648778290266,2387,51.76479169402235,80,0
L,295.5195657755427,311.4850482011869,2117,31.75011907189079,249,0
M,302.8627819938403,307.6740202785754,1423,59.4398591127987,105,0
L,297.01363782135974,305.15110684214477,1983,22.245259669345614,31,0
L,297.5862083488804,314.6501536945447,2369,38.14244485108924,73,0
L,296.64706353432297,307.508930456911,2164,58.05632329248582,170,1
L,298.302150648715,311.7602628805255,2149,20.809518863957155,80,0
L,302.56751505688635,312.0662986987871,2253,16.591786824446977,68,0
L,300.1938585950394,311.10007417079487,1244,63.021038061279384,44,0
L,297.0488127415071,308.1290739421365,1670,30.575779765551754,105,0
L,303.7783007815204,307.7109625376407,1233,51.03220749454192,136,0
H,303.7958185495153,310.97668282702705,1852,11.520916255836308,176,0
L,303.70578425046006,313.6609563361169,2029,51.402813304566976,160,0
L,297.3879621138154,314.46733728923397,1420,28.966078692818233,227,0
M,299.5123934418099,306.05905804403756,1733,13.344451215246504,99,0
L,304.84989656140874,306.5482861259772,1891,46.58876569288702,145,0
H,302.7201247630999,314.4473625878308,2131,24.448228964390395,8,0
M,295.2716742122556,312.36535228334793,2040,33.2084345231128,61,0
L,295.65204591260493,313.8299382482977,2210,14.834848737190816,184,0
L,299.6393137681233,307.0263263413534,1781,18.82979506569672,28,0
M,304.0922020586156,310.875858711094,2339,27.878634129750626,124,0
H,300.3870179795271,312.01139594417475,1438,15.385570033609428,113,0
L,299.9781250803429,311.80111885446973,1640,64.64957588117892,205,0
M,296.05473699956633,309.08151690866697,1347,10.362822591038706,152,0
L,301.56780104724294,305.15394891691307,2232,39.031613131858684,142,0
H,303.22103160600227,310.8292605680426,1587,17.394847487953086,133,0
L,298.80420007507564,307.5310153917961,2273,28.46074536867691,119,0
H,302.75611850925327,309.5025424614289,2115,65.56357358909594,169,0
M,304.6447665390081,314.57581015083815,1837,19.70167319643921,156,0
M,297.0376645912769,308.9903531764243,1477,67.94993918309996,78,0
L,300.2332963119474,313.3980160666443,2188,22.347662619365302,92,0
L,297.87137958084577,306.8854060574925,1788,54.49396650800978,3,1
L,302.9285441903384,311.72460498025026,1848,42.8006358938387,81,0
L,300.7759336588116,314.77006954438946,1817,63.06872365580555,241,0
L,301.345824175503,306.0189310087294,1334,43.23959533018785,184,0
M,302.97914159615897,305.08319942227195,1779,42.07355314937852,176,0
L,298.9597047266245,309.33582792632615,2370,21.727480022103993,171,0
L,304.15090068407045,305.9262548305137,1689,19.97376172309952,230,0
H,300.3302886724614,312.4838434967623,1677,64.98934906693086,207,0
M,296.5795482283535,314.1454866384856,2382,29.670291931002044,74,0
H,301.958991181688,309.3402097270876,1583,32.324935297773756,13,0
H,302.9326135043825,307.5871164215544,1362,55.589419505703304,130,0
L,298.1676167706753,309.3440331900661,1640,30.329408945368442,242,0
L,303.5717925699875,312.2344781785,2412,67.12374679834016,113,0
M,304.06143254765766,305.0905416158037,1614,54.27566613992802,61,0
M,297.7690448737781,310.89453989484696,2404,45.845754554405204,105,0
L,304.8352147271522,311.1329168488738,1487,62.853709632685145,63,0
M,296.4071152804876,311.37688246895937,1386,12.976354500968965,101,0
L,297.0201566840249,307.42022079980876,2361,25.423761531352525,172,0
L,296.84224839238027,312.14052723378126,1329,37.9021800532546,105,0
L,303.9398971000787,305.91391486331776,1393,23.618712368291263,209,0
L,301.5429255232496,306.992703364668,1515,54.634311238129115,185,0
L,296.52104283222275,313.7747004665448,1343,65.15248186322351,19,0
L,299.4032341836835,312.38723150726565,1215,35.426207195855405,57,0
M,301.152980250698,305.1374555401135,1622,30.527956006713698,111,0
L,295.83464084989384,307.483762603698,1444,67.69304392825399,216,0
L,303.82416368407337,307.14406482993166,2126,36.69114596965245,56,0
M,303.03603535441533,307.70806328036974,2330,39.342904026956994,229,1
H,300.0520677357664,307.47559770279884,2311,31.09899234051432,204,0
M,304.6712661525917,305.62526295742845,1328,64.57290838072831,195,0
M,299.177609792751,309.58940516596823,2106,44.137328996911044,118,0
M,304.841103190365,312.32733474786164,2086,55.730475230898676,205,0
L,301.67919998803626,311.06731724717434,1540,58.70840310105318,96,1
L,301.3467127325394,311.72871668598077,1203,30.51094251503549,91,0
L,296.65954895295783,305.81149178536236,1505,36.0216598792228,51,0
L,303.8192775830464,314.51490710176785,2107,60.908306464375876,36,0
L,299.27489687920615,313.3849183384302,1806,31.795321100548616,7,0
M,296.6223340578248,313.0509031849566,2448,57.636108007111076,43,0
L,295.12607519975757,313.2298380504177,2191,66.45953935446622,97,0
L,300.59755683638383,314.3271050813276,1520,47.39262238408042,235,0
L,300.27399622122675,310.442539661137,1758,54.49763724711333,132,0
M,302.1935362236916,307.00282017867625,2404,58.305838722468096,117,0
L,303.902580530178,311.1678360785254,1817,60.70237893379855,68,0
M,295.79406584643027,312.4288149366794,1910,33.70320027140776,158,0
L,302.3149649034036,312.37917393354024,2331,13.07580755055989,44,0
L,296.87411944097585,310.2144902416688,1730,34.11257627420437,136,0
L,303.58177053157164,305.6845871933358,1609,50.42537378704539,233,0
M,303.1906351386166,308.7111293843013,2017,37.02102314684757,31,0
L,300.40793754985543,314.20766608463356,2394,54.937789051623916,32,0
M,302.1024279862331,310.84448909757424,1692,31.418945768119833,125,0
L,298.14350113183747,310.38331943255713,2418,48.084648466241774,66,0
L,299.71167898932816,307.6885351438219,1211,21.185188291238475,29,0
M,303.2163689771047,308.6844891991658,1394,54.96216619869742,113,0
M,299.59265197173215,313.9534608915317,1689,42.74175812878155,203,0
M,298.5779826532544,311.6646304752684,1994,22.243863312796037,28,1
M,299.942124472503,312.87387026752333,2080,27.514670409868437,130,0
M,303.2824925243722,309.54345423067656,1381,54.91652251490994,217,0
M,298.3520804737087,311.3024721945616,2161,38.95607413969124,184,0
M,296.7376159313574,307.48383608743205,1855,22.961886423584332,29,0
M,302.1201402033078,312.0546083028349,1893,68.03627142221785,136,0
M,303.2597821270808,309.27601333703336,1229,52.907501189013274,153,0
M,296.0063747852353,309.4254551481475,2319,67.42808995238777,129,0
M,297.39874112755945,311.49322324576883,1977,35.62630272162059,61,0
L,296.4197198976099,314.3628062146893,1643,38.506020441503225,2,0
M,298.47941411582167,305.6400634660862,1497,63.87731297110115,173,0
M,299.50350978905414,313.2474323734701,2007,41.50296041472308,67,0
L,302.48826336963305,307.9238311041219,2044,52.43673471434003,24,0
M,301.51147584881676,309.4391945450638,2215,25.130372649731797,178,0
L,301.2092856747843,305.2191332877501,1753,36.80358812215843,140,0
L,298.52374946609655,308.01046077834314,1502,17.406991948621307,230,0
M,303.4144755308476,310.02631242630133,1620,22.3588021526177,43,0
L,299.7128716739816,305.5617607734744,2469,10.056604916057864,162,0
M,304.79104938015155,309.91095729383164,2460,12.355903098919613,54,0
M,301.3414213829574,314.2711062885843,1384,68.63702939061577,214,0
L,296.262647415645,306.05393218107804,1667,24.54122170820574,136,0
L,301.76177562075435,312.64440728075505,1953,49.79864257024012,129,1
L,298.25104015431697,309.0967105337599,1562,60.345981927976695,188,0
M,301.86327196686096,311.5517371452434,1535,43.039627554193856,245,0
H,295.69641148162407,307.60236597985227,1361,19.188670005037373,40,0
M,296.7488143717596,306.5949226254136,2383,53.686986240169986,171,0
L,303.5573725890579,306.6046261427123,1211,46.015084605974984,63,0
M,297.27179557023516,305.70491945643147,2296,53.8750353608425,30,0
L,303.3704112524294,306.85646704901245,1787,56.18479737142523,235,0
M,297.7927608845441,311.6421938498897,1400,68.5246220610847,46,0
L,301.4288191005871,313.8169061184351,1721,44.4137968016026,129,0
M,301.9415057350983,313.1412568559116,1704,30.49846676143611,95,0
L,300.1265475314505,311.85134309874485,1987,48.907873414014226,209,0
H,298.0531067669673,306.10431863411105,2262,14.106442554557567,76,0
L,297.12644376371094,307.8918744629595,1259,63.84383909929518,109,0
M,295.33189354562427,308.0980687532247,1777,17.162860680291807,68,0
H,298.0394640124072,307.49956946397623,1520,29.670570273149096,57,0
L,301.5316279053128,310.1500565970972,2122,58.944722837567255,105,0
H,304.38304818448484,310.3555381487967,1768,45.83874269984271,43,0
M,303.7120448226305,308.5688597517111,2301,33.618131216646525,73,0
L,302.660647765353,308.53789158736436,2417,38.40613956250128,55,0
L,302.884473432533,313.2855559790608,1726,61.27284359213082,170,0
M,301.64984903475994,312.89292848319684,1723,30.40026316359353,126,0
L,297.60286857566,308.07795831680744,1812,62.17898108873028,216,0
L,304.0719503070583,314.1378844387326,2379,15.28806585860149,161,0
L,301.70732311905834,314.52815017002507,1324,56.60790623251784,228,1
M,300.6044063098044,308.2674254203004,2070,60.85285798328418,29,0
L,296.1098946921348,308.54424948793053,1479,20.909059170240326,70,0
M,299.47055543806425,310.0563415342196,2116,35.82079194233202,197,0
H,299.60358271201926,314.4112081253367,1821,19.929986479819338,117,0
H,303.6456360952267,313.7631943314231,2045,52.39624773965306,54,0
M,300.4664822018779,306.0256796258359,1873,42.120866083699404,66,0
L,298.8040054897041,308.92730743271414,2351,48.119400802499264,140,1
M,304.7680032851066,310.5337118974977,1513,21.78921801737267,2,0
L,296.1072059332632,310.0313247255154,1531,22.704751723145172,25,0
L,299.22548428311944,306.93863067936894,2373,12.489839530594383,56,0
L,295.42024675171405,313.58816771168154,1235,29.324052111743782,125,0
L,302.3990412076693,311.7694078299684,2245,43.5846796800205,151,0
M,304.18076552199153,313.37908374851804,1405,61.476094839839725,52,0
M,297.80037329550487,313.5876427934947,1838,50.01564684752084,197,0
L,303.5834167679912,312.48355853665737,2047,36.12377940398508,42,0
L,297.92218230461896,309.39210601249715,1639,67.18720686364827,187,0
H,304.10770161643916,311.10546755015423,1928,53.15471203454991,185,0
L,302.53961903596786,306.6036540611974,2319,65.809912171753,48,0
L,303.0490677684144,311.7364541747491,2140,41.65527839632994,41,0
L,295.18006555600454,306.7925325573928,1363,25.534256487588376,203,0
M,304.6281035707403,311.9394959051016,1347,13.16960118188332,240,0
M,302.26670992070325,307.29598160753966,1493,53.56509108903103,227,0
L,298.0475109538613,306.1755130015022,1394,17.278179880332047,193,0
L,303.2939466485885,306.65284490142955,1862,28.166507696318032,10,1
M,297.8152119841493,305.0199213521907,1679,41.94825447303384,102,0
M,303.72753839566127,312.1873961785353,1322,43.86499526678486,97,0
L,296.1258039041194,312.3240104905838,1898,46.03499181922816,217,0
H,302.03685977460793,310.1493334991326,2164,19.975319820982037,145,0
L,300.4069847664491,306.61362801055384,1860,32.784244289298925,84,0
L,295.9653447019544,305.8355433751069,2327,47.031653627018,99,0
H,297.4189382825884,305.19128966437285,1909,68.18913187802708,103,0
L,295.12404036277314,306.6574817696522,1595,53.65786826198132,179,0
M,299.6876796546451,313.9085553498315,2111,65.35622542563746,45,0
L,298.0126526076,307.4153684170168,2204,55.732723498850625,43,0
L,300.9835748429776,308.54271327217214,2365,45.503018133544025,21,0
H,297.97237807708615,306.05345484481336,1516,21.521402148180673,180,0
L,297.99919111506983,307.2236130474817,1880,50.001139113550785,186,0
M,302.43193198731603,310.19224570780204,1694,47.40277395759443,221,0
L,295.48142835978354,311.0775268309565,1755,46.148150227435984,113,0
L,304.02894995191986,307.4535231416621,1809,39.387152079294445,234,0
L,303.52263874391184,305.57732159225117,1308,41.71939623935654,124,0
M,301.67804683226404,308.910328691274,1571,30.066551627086245,123,0
L,300.93221570107386,307.3420337092633,2054,41.15876155853819,29,0
M,303.9230249813965,307.195539232298,1815,21.853354340708695,7,0
L,296.85330179528717,314.59862802713457,1967,58.31046384162261,97,0
H,295.7896916219083,311.1630048592572,1405,21.146617281922467,56,0
L,297.3951016990954,310.568784431721,2046,15.097977393367985,110,0
M,302.9457827870019,309.1577510352332,1242,36.17476158142944,72,0
M,295.3467026672648,309.28944333430144,2064,49.49844637036371,114,0
M,300.8280683508349,310.4090500383808,2468,36.26300949601249,19,0
M,304.9543751619131,311.96429807036105,1984,26.605247917078515,231,0
M,303.55696093837537,312.0214609618183,1675,43.490271033426446,24,0
M,300.2144568904359,306.7169390770545,1282,30.820140124731996,18,0
L,295.6364090928664,310.00112752076626,2333,65.97206140759798,4,0
L,303.3137351438571,309.119580950341,1389,65.35870837621432,74,0
